subject,questiontype,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,complexity,3,1,2,1,1,4,1,2,1,3,1,3,2,1,2
2,complexity,4,2,2,3,2,4,3,3,2,2,2,2,1,2,2
3,complexity,1,2,2,4,1,2,1,2,3,2,2,2,2,1,4
4,complexity,2,2,2,4,2,4,2,2,3,5,4,3,4,4,4
5,complexity,3,4,2,2,1,3,2,4,2,4,2,3,3,3,3
1,interest,4,2,2,1,2,4,3,5,1,4,2,4,3,4,3
2,interest,4,4,3,3,4,5,4,4,3,4,2,4,5,4,4
3,interest,2,4,4,4,3,4,4,3,2,2,4,4,2,2,5
4,interest,2,2,2,4,3,3,3,3,2,4,3,4,3,4,4
5,interest,1,3,3,3,3,3,4,2,3,4,3,4,3,2,1
1,positive,1,4,4,4,3,3,3,1,2,3,3,3,2,4,2
2,positive,2,3,4,2,4,2,4,2,2,5,3,4,4,4,4
3,positive,4,4,4,2,4,2,4,3,4,2,4,4,4,3,2
4,positive,3,2,3,4,3,2,4,2,3,3,2,4,3,2,4
5,positive,1,1,4,3,5,1,5,2,3,1,2,4,2,1,2
1,negative,1,1,2,1,1,2,1,4,1,2,1,1,1,1,2
2,negative,4,2,2,3,2,4,2,4,4,1,2,2,1,2,2
3,negative,2,2,2,2,2,2,3,2,3,1,2,2,2,2,2
4,negative,2,2,2,1,2,2,1,3,2,2,3,1,2,2,1
5,negative,5,4,2,2,1,5,1,5,2,5,5,2,2,5,3
1,arouse,2,2,1,1,1,2,4,2,2,2,1,1,1,2,2
2,arouse,2,2,4,2,4,2,4,2,2,5,2,4,4,4,4
3,arouse,3,3,2,2,2,1,4,4,2,2,3,1,2,2,3
4,arouse,2,2,2,4,2,2,2,3,2,3,2,2,2,2,3
5,arouse,4,4,2,2,3,4,2,1,4,4,4,3,4,4,4
1,calm,1,4,4,4,3,3,2,1,3,2,4,3,2,3,3
2,calm,3,2,4,4,4,2,4,2,3,4,5,3,3,4,4
3,calm,3,4,4,2,2,3,2,2,2,3,4,4,4,4,2
4,calm,4,2,4,3,4,2,4,2,4,2,2,4,4,2,2
5,calm,1,1,4,4,3,1,5,1,5,1,1,4,4,1,4
1,real,1,3,2,5,3,2,3,2,4,3,4,1,2,3,3
2,real,1,2,4,3,4,2,4,2,2,4,5,2,2,2,3
3,real,5,4,4,4,4,1,4,4,4,4,4,4,4,4,4
4,real,2,3,4,4,4,3,4,4,4,3,4,4,4,4,4
5,real,1,1,5,4,5,1,5,2,4,1,2,2,3,1,4
